[2025-07-14 16:41:53,382][__main__][INFO] - Train
[2025-07-14 17:38:54,995][__main__][INFO] - loss: 8.3504, loss_tr: 2.2415, loss_up: 2.0577, loss_right: 2.3464, loss_up_aux: 0.6034, loss_right_aux: 0.6613, loss_scale: 0.0073
[2025-07-14 17:40:46,527][__main__][INFO] - loss: 8.3126, loss_tr: 2.2413, loss_up: 2.0467, loss_right: 2.3359, loss_up_aux: 0.6027, loss_right_aux: 0.6607, loss_scale: 0.0071
[2025-07-14 17:42:43,698][__main__][INFO] - loss: 8.2923, loss_tr: 2.2326, loss_up: 2.0388, loss_right: 2.3300, loss_up_aux: 0.6016, loss_right_aux: 0.6605, loss_scale: 0.0071
[2025-07-14 17:44:34,708][__main__][INFO] - loss: 8.2727, loss_tr: 2.2281, loss_up: 2.0352, loss_right: 2.3263, loss_up_aux: 0.5999, loss_right_aux: 0.6592, loss_scale: 0.0071
[2025-07-14 17:46:23,396][__main__][INFO] - loss: 8.2587, loss_tr: 2.2256, loss_up: 2.0306, loss_right: 2.3170, loss_up_aux: 0.5999, loss_right_aux: 0.6596, loss_scale: 0.0071
[2025-07-14 17:48:17,447][__main__][INFO] - loss: 8.2249, loss_tr: 2.2312, loss_up: 2.0164, loss_right: 2.3093, loss_up_aux: 0.5988, loss_right_aux: 0.6590, loss_scale: 0.0068
[2025-07-14 17:50:07,300][__main__][INFO] - loss: 8.2386, loss_tr: 2.2361, loss_up: 2.0213, loss_right: 2.3071, loss_up_aux: 0.5997, loss_right_aux: 0.6592, loss_scale: 0.0069
[2025-07-14 17:51:57,199][__main__][INFO] - loss: 8.1915, loss_tr: 2.2218, loss_up: 2.0106, loss_right: 2.3011, loss_up_aux: 0.5984, loss_right_aux: 0.6590, loss_scale: 0.0067
[2025-07-14 17:53:48,738][__main__][INFO] - loss: 8.1619, loss_tr: 2.2206, loss_up: 2.0011, loss_right: 2.2881, loss_up_aux: 0.5971, loss_right_aux: 0.6582, loss_scale: 0.0066
[2025-07-14 17:55:41,005][__main__][INFO] - loss: 8.2136, loss_tr: 2.2265, loss_up: 2.0123, loss_right: 2.3025, loss_up_aux: 0.5976, loss_right_aux: 0.6588, loss_scale: 0.0069
[2025-07-14 17:57:32,030][__main__][INFO] - loss: 8.1611, loss_tr: 2.2189, loss_up: 1.9952, loss_right: 2.2859, loss_up_aux: 0.5972, loss_right_aux: 0.6578, loss_scale: 0.0068
[2025-07-14 17:59:25,665][__main__][INFO] - loss: 8.1388, loss_tr: 2.2168, loss_up: 1.9989, loss_right: 2.2831, loss_up_aux: 0.5958, loss_right_aux: 0.6568, loss_scale: 0.0065
[2025-07-14 18:01:19,026][__main__][INFO] - loss: 8.1421, loss_tr: 2.2137, loss_up: 1.9919, loss_right: 2.2795, loss_up_aux: 0.5946, loss_right_aux: 0.6568, loss_scale: 0.0068
[2025-07-14 18:03:13,319][__main__][INFO] - loss: 8.0797, loss_tr: 2.2037, loss_up: 1.9810, loss_right: 2.2739, loss_up_aux: 0.5934, loss_right_aux: 0.6567, loss_scale: 0.0062
[2025-07-14 18:05:03,940][__main__][INFO] - loss: 8.1607, loss_tr: 2.2198, loss_up: 1.9920, loss_right: 2.2844, loss_up_aux: 0.5924, loss_right_aux: 0.6568, loss_scale: 0.0069
[2025-07-14 18:06:55,674][__main__][INFO] - loss: 8.1264, loss_tr: 2.2150, loss_up: 1.9827, loss_right: 2.2739, loss_up_aux: 0.5909, loss_right_aux: 0.6555, loss_scale: 0.0068
[2025-07-14 18:08:48,962][__main__][INFO] - loss: 8.0705, loss_tr: 2.2055, loss_up: 1.9761, loss_right: 2.2634, loss_up_aux: 0.5915, loss_right_aux: 0.6547, loss_scale: 0.0063
[2025-07-14 18:10:41,715][__main__][INFO] - loss: 8.0911, loss_tr: 2.2026, loss_up: 1.9813, loss_right: 2.2720, loss_up_aux: 0.5907, loss_right_aux: 0.6547, loss_scale: 0.0065
[2025-07-14 18:12:35,055][__main__][INFO] - loss: 8.0488, loss_tr: 2.2072, loss_up: 1.9671, loss_right: 2.2593, loss_up_aux: 0.5890, loss_right_aux: 0.6532, loss_scale: 0.0062
[2025-07-14 18:14:27,331][__main__][INFO] - loss: 8.0623, loss_tr: 2.2141, loss_up: 1.9676, loss_right: 2.2566, loss_up_aux: 0.5889, loss_right_aux: 0.6517, loss_scale: 0.0064
[2025-07-14 18:16:16,838][__main__][INFO] - loss: 8.0406, loss_tr: 2.2046, loss_up: 1.9689, loss_right: 2.2598, loss_up_aux: 0.5864, loss_right_aux: 0.6518, loss_scale: 0.0062
[2025-07-14 18:18:07,737][__main__][INFO] - loss: 8.0529, loss_tr: 2.2003, loss_up: 1.9707, loss_right: 2.2655, loss_up_aux: 0.5867, loss_right_aux: 0.6509, loss_scale: 0.0063
[2025-07-14 18:19:59,252][__main__][INFO] - loss: 8.0253, loss_tr: 2.2038, loss_up: 1.9625, loss_right: 2.2485, loss_up_aux: 0.5878, loss_right_aux: 0.6503, loss_scale: 0.0062
[2025-07-14 18:21:53,565][__main__][INFO] - loss: 8.0392, loss_tr: 2.1992, loss_up: 1.9637, loss_right: 2.2546, loss_up_aux: 0.5861, loss_right_aux: 0.6496, loss_scale: 0.0064
[2025-07-14 18:23:47,820][__main__][INFO] - loss: 8.0250, loss_tr: 2.2016, loss_up: 1.9618, loss_right: 2.2494, loss_up_aux: 0.5852, loss_right_aux: 0.6483, loss_scale: 0.0063
[2025-07-14 18:25:53,069][__main__][INFO] - loss: 8.0251, loss_tr: 2.1968, loss_up: 1.9627, loss_right: 2.2515, loss_up_aux: 0.5848, loss_right_aux: 0.6483, loss_scale: 0.0063
